transaction_id,step,orig_id,dest_id,amount,isFraud_true,fraud_prob_pred,isFraud_pred,day,orig_balance_ratio,dest_balance_ratio,orig_curr_volatility,dest_curr_volatility
1720193458,720.0,69680,398340,1412.8329,0.0,0.03173439,0,30.0,,,,
1720193459,720.0,314520,272201,1498.8202,0.0,0.040866923,0,30.0,,,,
1720193460,720.0,303870,458880,520.0356,0.0,0.17230047,0,30.0,,,,
1720193461,720.0,119370,288480,366.99255,0.0,0.10049036,0,30.0,,,,
1720193462,720.0,50230,413100,9731.565,0.0,0.0897665,0,30.0,,,,
1720193463,720.0,50210,268520,1065.509,0.0,0.14024891,0,30.0,,,,
1720193464,720.0,23430,308800,2159.6982,0.0,0.022576014,0,30.0,,,,
1720193465,720.0,175750,12090,2612.475,0.0,0.039182235,0,30.0,,,,
1720193466,720.0,170020,256210,5810.7886,0.0,0.034390416,0,30.0,,,,
1720193467,720.0,445710,190760,547.07776,0.0,0.090121396,0,30.0,,,,
1720193468,720.0,410280,110250,3109.905,0.0,0.05840922,0,30.0,,,,
1720193469,720.0,93930,320400,406.69986,0.0,0.07356219,0,30.0,,,,
1720193470,720.0,461470,492780,342.51248,0.0,0.074494764,0,30.0,,,,
1720193471,720.0,365630,23370,4962.9453,0.0,0.05008394,0,30.0,,,,
1720193472,720.0,2720,140480,30481.174,0.0,0.054691046,0,30.0,,,,
1720193473,720.0,60030,334660,2166.6194,0.0,0.046507906,0,30.0,,,,
1720193474,720.0,414870,8580,1718.4133,0.0,0.028571466,0,30.0,,,,
1720193475,720.0,283660,26830,322.43484,0.0,0.11736277,0,30.0,,,,
1720193476,720.0,442410,249830,4927.0537,0.0,0.113585606,0,30.0,,,,
1720193477,720.0,466030,321771,819.8751,0.0,0.08242628,0,30.0,,,,
1720193478,720.0,53520,381441,942.89526,0.0,0.07352583,0,30.0,,,,
1720193479,720.0,284120,371670,66121.1,1.0,0.6706869,1,30.0,,,,
1720193480,720.0,105490,68671,481.60486,0.0,0.115492746,0,30.0,,,,
1720193481,720.0,483590,406380,5556.8706,0.0,0.042835575,0,30.0,,,,
1720193482,720.0,234480,466820,1366.8008,0.0,0.14953558,0,30.0,,,,
1720193483,720.0,369140,211120,32402.973,0.0,0.040443096,0,30.0,,,,
1720193484,720.0,117310,419510,4273.22,0.0,0.13515157,0,30.0,,,,
1720193485,720.0,56580,219270,36438.277,1.0,0.6276729,1,30.0,,,,
1720193486,720.0,127480,75960,1483.8354,0.0,0.078237236,0,30.0,,,,
1720193487,720.0,272690,138061,4096.055,0.0,0.10851353,0,30.0,,,,
1720193488,720.0,213790,317350,296.70105,0.0,0.081123106,0,30.0,,,,
1720193489,720.0,130460,305160,2625.2632,0.0,0.047093656,0,30.0,,,,
1720193490,720.0,378950,415690,87.8028,0.0,0.036854822,0,30.0,,,,
1720193491,720.0,339360,236580,3780.0732,0.0,0.036351275,0,30.0,,,,
1720193492,720.0,310740,363790,858.4715,0.0,0.04425769,0,30.0,,,,
1720193493,720.0,307750,467050,279.9328,0.0,0.12615971,0,30.0,,,,
1720193494,720.0,356691,80010,1771.487,0.0,0.05744781,0,30.0,,,,
1720193495,720.0,237190,355730,690.7067,0.0,0.08867897,0,30.0,,,,
1720193496,720.0,107470,167850,457.95068,0.0,0.18353575,0,30.0,,,,
1720193497,720.0,177020,5190,1186.956,0.0,0.16230945,0,30.0,,,,
1720193498,720.0,477110,300830,301.57303,0.0,0.10225095,0,30.0,,,,
1720193499,720.0,370590,417800,2120.4426,0.0,0.03440767,0,30.0,,,,
1720193500,720.0,409190,397760,278.8638,0.0,0.15320562,0,30.0,,,,
1720193501,720.0,134060,183621,5969.3784,0.0,0.030727772,0,30.0,,,,
1720193502,720.0,285920,65620,378.69778,0.0,0.19603662,0,30.0,,,,
1720193503,720.0,152610,390351,3000.478,0.0,0.11445503,0,30.0,,,,
1720193504,720.0,258650,103380,1382.8721,0.0,0.06167153,0,30.0,,,,
1720193505,720.0,174160,288190,382.15985,0.0,0.05842045,0,30.0,,,,
1720193506,720.0,482970,142920,1271.6495,0.0,0.14260028,0,30.0,,,,
1720193507,720.0,49590,426141,135.42018,0.0,0.09431636,0,30.0,,,,
1720193508,720.0,252200,451750,800.81744,0.0,0.08507513,0,30.0,,,,
1720193509,720.0,421330,263820,313.51758,0.0,0.1644048,0,30.0,,,,
1720193510,720.0,28700,11690,20943.48,0.0,0.031526566,0,30.0,,,,
1720193511,720.0,172440,48590,7039.79,0.0,0.06748512,0,30.0,,,,
1720193512,720.0,121540,290360,334.33868,0.0,0.051018897,0,30.0,,,,
1720193513,720.0,436460,362410,63572.98,1.0,0.59552383,1,30.0,,,,
1720193514,720.0,347580,184400,1683.5272,0.0,0.081545964,0,30.0,,,,
1720193515,720.0,95860,348680,918.3486,0.0,0.059770867,0,30.0,,,,
1720193516,720.0,264380,354170,5364.192,0.0,0.030128943,0,30.0,,,,
1720193517,720.0,90020,443200,1279.4662,0.0,0.060190428,0,30.0,,,,
1720193518,720.0,178320,445260,447.98126,0.0,0.16651759,0,30.0,,,,
1720193519,720.0,364530,463260,2277.1956,0.0,0.15386698,0,30.0,,,,
1720193520,720.0,293200,456430,5069.969,0.0,0.03256011,0,30.0,,,,
1720193521,720.0,163240,314020,11153.289,0.0,0.038969472,0,30.0,,,,
1720193522,720.0,325550,423930,2418.0415,1.0,0.4679018,0,30.0,,,,
1720193523,720.0,133160,460100,458.50006,0.0,0.112863384,0,30.0,,,,
1720193524,720.0,464240,262860,1302.9093,0.0,0.074462995,0,30.0,,,,
1720193525,720.0,378580,316440,154.28477,0.0,0.15388738,0,30.0,,,,
1720193526,720.0,22981,158060,551.43,0.0,0.057955045,0,30.0,,,,
1720193527,720.0,444840,278160,6537.1973,0.0,0.08050694,0,30.0,,,,
1720193528,720.0,181300,10710,492.99994,0.0,0.1575197,0,30.0,,,,
1720193529,720.0,212390,367940,215.7798,0.0,0.114160664,0,30.0,,,,
1720193530,720.0,131750,56580,244.73299,0.0,0.13219903,0,30.0,,,,
1720193531,720.0,377730,131010,6645.39,0.0,0.19169667,0,30.0,,,,
1720193532,720.0,313840,112770,10793.804,0.0,0.07125994,0,30.0,,,,
1720193533,720.0,339760,422601,1556.2738,0.0,0.03444804,0,30.0,,,,
1720193534,720.0,407210,73060,596.22064,0.0,0.09888431,0,30.0,,,,
1720193535,720.0,79030,408330,732.63293,0.0,0.059615456,0,30.0,,,,
1720193536,720.0,76240,369580,1423.8883,0.0,0.037370965,0,30.0,,,,
1720193537,720.0,47460,166530,1726.1788,0.0,0.035809495,0,30.0,,,,
1720193538,720.0,73740,146230,3803.531,0.0,0.04467704,0,30.0,,,,
1720193539,720.0,419760,214360,244.21703,0.0,0.09263079,0,30.0,,,,
1720193540,720.0,77740,68590,2760.7483,0.0,0.072467275,0,30.0,,,,
1720193541,720.0,96600,20791,181.98512,0.0,0.08683509,0,30.0,,,,
1720193542,720.0,304470,255000,258.3074,0.0,0.16781129,0,30.0,,,,
1720193543,720.0,203860,146230,552.18085,0.0,0.08423789,0,30.0,,,,
1720193544,720.0,249560,97531,48670.223,0.0,0.03161137,0,30.0,,,,
1720193545,720.0,377870,118771,8596.521,0.0,0.11301904,0,30.0,,,,
1720193546,720.0,38800,402080,298.02402,0.0,0.2007103,0,30.0,,,,
1720193547,720.0,9480,188840,725.43353,0.0,0.0666976,0,30.0,,,,
1720193548,720.0,366260,255250,13925.289,0.0,0.056882024,0,30.0,,,,
1720193549,720.0,485020,209460,2228.7686,0.0,0.074692294,0,30.0,,,,
1720193550,720.0,412750,275730,453.89734,0.0,0.083247736,0,30.0,,,,
1720193551,720.0,267390,310980,4609.891,0.0,0.030480407,0,30.0,,,,
1720193552,720.0,70930,79550,972.4837,0.0,0.15194893,0,30.0,,,,
1720193553,720.0,266820,209060,235.79587,0.0,0.1738689,0,30.0,,,,
1720193554,720.0,211160,468550,1242.3373,0.0,0.054401636,0,30.0,,,,
1720193555,720.0,296710,217270,3371.2568,0.0,0.037281163,0,30.0,,,,
1720193556,720.0,428440,68810,1284.3367,0.0,0.16417406,0,30.0,,,,
1720193557,720.0,139400,397570,19024.834,0.0,0.059032694,0,30.0,,,,
1720193558,720.0,140310,84080,2635.3684,0.0,0.028187705,0,30.0,,,,
1720193559,720.0,139900,268331,571.6722,0.0,0.09135046,0,30.0,,,,
1720193560,720.0,98360,181700,762.60754,0.0,0.29290888,0,30.0,,,,
1720193561,720.0,418350,470770,23148.518,0.0,0.02580382,0,30.0,,,,
1720193562,720.0,392770,67890,1117.8622,0.0,0.07514475,0,30.0,,,,
1720193563,720.0,155330,188700,2818.9204,0.0,0.038746823,0,30.0,,,,
1720193564,720.0,294090,24930,789.02936,0.0,0.066070035,0,30.0,,,,
1720193565,720.0,97490,428601,485.9178,0.0,0.06564604,0,30.0,,,,
1720193566,720.0,208010,216620,14111.882,0.0,0.063026495,0,30.0,,,,
1720193567,720.0,494450,425250,2776.1099,0.0,0.2447099,0,30.0,,,,
1720193568,720.0,308300,456730,1370.5093,0.0,0.06468297,0,30.0,,,,
1720193569,720.0,145190,337000,495.84695,0.0,0.051766355,0,30.0,,,,
1720193570,720.0,386920,80160,4707.456,0.0,0.030101728,0,30.0,,,,
1720193571,720.0,399480,166180,2417.084,0.0,0.06425471,0,30.0,,,,
1720193572,720.0,456320,401600,2078.5977,0.0,0.08882241,0,30.0,,,,
1720193573,720.0,254610,250720,6588.3975,0.0,0.0620486,0,30.0,,,,
1720193574,720.0,456460,378220,369.86438,0.0,0.15556374,0,30.0,,,,
1720193575,720.0,225280,388950,224.6579,0.0,0.057509765,0,30.0,,,,
1720193576,720.0,50860,293180,679.9557,0.0,0.08196552,0,30.0,,,,
1720193577,720.0,244490,184990,373.6462,0.0,0.10760631,0,30.0,,,,
1720193578,720.0,374700,369220,9370.873,0.0,0.027406255,0,30.0,,,,
1720193579,720.0,83280,481740,606.942,0.0,0.15089792,0,30.0,,,,
1720193580,720.0,437110,245930,332.1455,0.0,0.13297138,0,30.0,,,,
1720193581,720.0,139520,228280,428.80527,0.0,0.07003306,0,30.0,,,,
1720193582,720.0,354490,248250,1525.2479,0.0,0.0517933,0,30.0,,,,
1720193583,720.0,22751,183210,1798.0605,0.0,0.070340194,0,30.0,,,,
1720193584,720.0,410230,462290,2599.4333,0.0,0.081528306,0,30.0,,,,
1721193585,721.0,369690,243450,1656.3832,0.0,0.08870648,0,30.0,,,,
1721193586,721.0,410630,338771,390.9525,0.0,0.20104918,0,30.0,,,,
1721193587,721.0,106340,428710,12915.955,0.0,0.047263388,0,30.0,,,,
1721193588,721.0,42710,379421,859.7816,0.0,0.08112513,0,30.0,,,,
1721193589,721.0,257090,382491,2385.0667,0.0,0.08561406,0,30.0,,,,
1721193590,721.0,205800,122770,4175.6987,0.0,0.07194488,0,30.0,,,,
1721193591,721.0,246830,304760,2415.1565,0.0,0.1033872,0,30.0,,,,
1721193592,721.0,365500,318541,4187.417,0.0,0.03629457,0,30.0,,,,
1721193593,721.0,411390,168970,1020.3907,0.0,0.08935359,0,30.0,,,,
1721193594,721.0,278950,360200,315.68887,0.0,0.09904649,0,30.0,,,,
1721193595,721.0,67370,482500,9468.887,0.0,0.051167794,0,30.0,,,,
1721193596,721.0,63240,300090,1948.7845,0.0,0.039684862,0,30.0,,,,
